experiment,model,DR,granularity,split,features,MAE,RMSE,R2,R2_std
E1E2,linear_regression,peak_clipping,raw,random,env_lags,13.656,17.431,0.5857,
E1E2,linear_regression,peak_clipping,ma3,random,env_lags,10.022,12.565,0.7204,
E1E2,linear_regression,peak_clipping,ma6,random,env_lags,8.08,10.053,0.7717,
E1E2,linear_regression,peak_clipping,ma12,random,env_lags,6.105,7.678,0.7962,
E1E2,random_forest,peak_clipping,raw,random,env_lags,8.806,12.596,0.7837,
E1E2,random_forest,peak_clipping,ma3,random,env_lags,5.535,7.382,0.9035,
E1E2,random_forest,peak_clipping,ma6,random,env_lags,4.146,5.317,0.9362,
E1E2,random_forest,peak_clipping,ma12,random,env_lags,3.076,3.861,0.9485,
E1E2,svr,peak_clipping,raw,random,env_lags,10.269,13.926,0.7356,
E1E2,svr,peak_clipping,ma3,random,env_lags,6.703,8.736,0.8648,
E1E2,svr,peak_clipping,ma6,random,env_lags,5.057,6.445,0.9062,
E1E2,svr,peak_clipping,ma12,random,env_lags,3.751,4.744,0.9222,
E1E2,knn,peak_clipping,raw,random,env_lags,11.122,15.199,0.685,
E1E2,knn,peak_clipping,ma3,random,env_lags,7.387,9.947,0.8248,
E1E2,knn,peak_clipping,ma6,random,env_lags,5.578,7.266,0.8808,
E1E2,knn,peak_clipping,ma12,random,env_lags,4.055,5.165,0.9077,
E1E2,gbm,peak_clipping,raw,random,env_lags,8.698,12.35,0.7921,
E1E2,gbm,peak_clipping,ma3,random,env_lags,5.474,7.267,0.9065,
E1E2,gbm,peak_clipping,ma6,random,env_lags,4.135,5.27,0.9373,
E1E2,gbm,peak_clipping,ma12,random,env_lags,3.062,3.869,0.9482,
E1E2,xgboost,peak_clipping,raw,random,env_lags,8.668,12.381,0.791,
E1E2,xgboost,peak_clipping,ma3,random,env_lags,5.489,7.362,0.904,
E1E2,xgboost,peak_clipping,ma6,random,env_lags,4.179,5.337,0.9357,
E1E2,xgboost,peak_clipping,ma12,random,env_lags,3.093,3.899,0.9474,
E1E2,persistence,peak_clipping,raw,random,env_lags,31.195,71.775,-1.0,
E1E2,persistence,peak_clipping,ma3,random,env_lags,26.496,54.76,-1.0,
E1E2,persistence,peak_clipping,ma6,random,env_lags,24.821,46.783,-1.0,
E1E2,persistence,peak_clipping,ma12,random,env_lags,23.596,39.375,-1.0,
E1E2,seasonal_naive,peak_clipping,raw,random,env_lags,42.181,82.585,-1.0,
E1E2,seasonal_naive,peak_clipping,ma3,random,env_lags,37.248,66.146,-1.0,
E1E2,seasonal_naive,peak_clipping,ma6,random,env_lags,34.291,57.121,-1.0,
E1E2,seasonal_naive,peak_clipping,ma12,random,env_lags,31.413,47.765,-1.0,
E1E2,ets,peak_clipping,raw,random,env_lags,40.246,53.07,-1.0,
E1E2,ets,peak_clipping,ma3,random,env_lags,34.636,44.154,-1.0,
E1E2,ets,peak_clipping,ma6,random,env_lags,29.683,37.483,-1.0,
E1E2,ets,peak_clipping,ma12,random,env_lags,23.277,29.291,-1.0,
E1E2,lstm,peak_clipping,raw,random,env_lags,9.026,12.513,0.7863,
E1E2,lstm,peak_clipping,ma3,random,env_lags,5.658,7.452,0.9015,
E1E2,lstm,peak_clipping,ma6,random,env_lags,4.254,5.39,0.9342,
E1E2,lstm,peak_clipping,ma12,random,env_lags,3.165,3.962,0.9457,
E1E2,cnn_lstm,peak_clipping,raw,random,env_lags,8.862,12.398,0.7901,0.0024
E1E2,cnn_lstm,peak_clipping,ma3,random,env_lags,5.541,7.332,0.9047,0.001
E1E2,cnn_lstm,peak_clipping,ma6,random,env_lags,4.148,5.292,0.9367,0.0009
E1E2,cnn_lstm,peak_clipping,ma12,random,env_lags,3.089,3.898,0.9476,0.0014
E1E2,linear_regression,valley_filling,raw,random,env_lags,24.978,52.062,0.576,
E1E2,linear_regression,valley_filling,ma3,random,env_lags,17.834,30.033,0.7735,
E1E2,linear_regression,valley_filling,ma6,random,env_lags,14.21,21.368,0.838,
E1E2,linear_regression,valley_filling,ma12,random,env_lags,11.211,15.485,0.8655,
E1E2,random_forest,valley_filling,raw,random,env_lags,21.584,49.131,0.6224,
E1E2,random_forest,valley_filling,ma3,random,env_lags,15.145,27.852,0.8052,
E1E2,random_forest,valley_filling,ma6,random,env_lags,12.015,19.441,0.8659,
E1E2,random_forest,valley_filling,ma12,random,env_lags,9.679,13.866,0.8922,
E1E2,svr,valley_filling,raw,random,env_lags,30.733,54.039,0.5432,
E1E2,svr,valley_filling,ma3,random,env_lags,22.369,33.024,0.7261,
E1E2,svr,valley_filling,ma6,random,env_lags,18.127,24.493,0.7871,
E1E2,svr,valley_filling,ma12,random,env_lags,14.161,18.142,0.8154,
E1E2,knn,valley_filling,raw,random,env_lags,26.379,58.15,0.471,
E1E2,knn,valley_filling,ma3,random,env_lags,19.078,36.455,0.6662,
E1E2,knn,valley_filling,ma6,random,env_lags,15.315,26.383,0.753,
E1E2,knn,valley_filling,ma12,random,env_lags,12.689,19.613,0.7842,
E1E2,gbm,valley_filling,raw,random,env_lags,21.292,48.541,0.6314,
E1E2,gbm,valley_filling,ma3,random,env_lags,14.869,27.439,0.8109,
E1E2,gbm,valley_filling,ma6,random,env_lags,11.736,19.119,0.8703,
E1E2,gbm,valley_filling,ma12,random,env_lags,9.49,13.646,0.8956,
E1E2,xgboost,valley_filling,raw,random,env_lags,21.283,48.211,0.6364,
E1E2,xgboost,valley_filling,ma3,random,env_lags,14.8,27.429,0.8111,
E1E2,xgboost,valley_filling,ma6,random,env_lags,11.642,19.092,0.8706,
E1E2,xgboost,valley_filling,ma12,random,env_lags,9.332,13.667,0.8952,
E1E2,persistence,valley_filling,raw,random,env_lags,27.053,57.461,0.4835,
E1E2,persistence,valley_filling,ma3,random,env_lags,19.52,31.288,0.7541,
E1E2,persistence,valley_filling,ma6,random,env_lags,15.802,21.99,0.8284,
E1E2,persistence,valley_filling,ma12,random,env_lags,12.511,16.113,0.8544,
E1E2,seasonal_naive,valley_filling,raw,random,env_lags,54.156,100.873,-0.5918,
E1E2,seasonal_naive,valley_filling,ma3,random,env_lags,46.074,76.262,-0.4606,
E1E2,seasonal_naive,valley_filling,ma6,random,env_lags,40.873,63.512,-0.4316,
E1E2,seasonal_naive,valley_filling,ma12,random,env_lags,35.031,51.556,-0.4908,
E1E2,ets,valley_filling,raw,random,env_lags,56.759,83.162,-0.0819,
E1E2,ets,valley_filling,ma3,random,env_lags,46.457,63.106,-0.0001,
E1E2,ets,valley_filling,ma6,random,env_lags,38.364,51.448,0.0606,
E1E2,ets,valley_filling,ma12,random,env_lags,29.479,40.131,0.0967,
E1E2,lstm,valley_filling,raw,random,env_lags,21.66,48.795,0.6267,
E1E2,lstm,valley_filling,ma3,random,env_lags,15.374,28.066,0.8018,
E1E2,lstm,valley_filling,ma6,random,env_lags,12.09,19.58,0.8638,
E1E2,lstm,valley_filling,ma12,random,env_lags,9.437,13.701,0.8945,
E1E2,cnn_lstm,valley_filling,raw,random,env_lags,21.503,48.907,0.6244,0.005
E1E2,cnn_lstm,valley_filling,ma3,random,env_lags,15.099,27.663,0.8074,0.0011
E1E2,cnn_lstm,valley_filling,ma6,random,env_lags,11.789,19.204,0.869,0.0022
E1E2,cnn_lstm,valley_filling,ma12,random,env_lags,9.272,13.423,0.8989,0.0027
E1E2,linear_regression,load_shifting,raw,random,env_lags,27.382,50.122,0.5055,
E1E2,linear_regression,load_shifting,ma3,random,env_lags,20.274,31.678,0.6821,
E1E2,linear_regression,load_shifting,ma6,random,env_lags,16.043,23.543,0.75,
E1E2,linear_regression,load_shifting,ma12,random,env_lags,12.559,17.427,0.7865,
E1E2,random_forest,load_shifting,raw,random,env_lags,20.528,43.414,0.629,
E1E2,random_forest,load_shifting,ma3,random,env_lags,13.98,25.109,0.8003,
E1E2,random_forest,load_shifting,ma6,random,env_lags,10.842,17.57,0.8608,
E1E2,random_forest,load_shifting,ma12,random,env_lags,8.521,12.636,0.8877,
E1E2,svr,load_shifting,raw,random,env_lags,31.514,50.491,0.4982,
E1E2,svr,load_shifting,ma3,random,env_lags,22.975,32.314,0.6692,
E1E2,svr,load_shifting,ma6,random,env_lags,18.394,24.479,0.7297,
E1E2,svr,load_shifting,ma12,random,env_lags,14.344,18.582,0.7572,
E1E2,knn,load_shifting,raw,random,env_lags,27.275,52.187,0.4639,
E1E2,knn,load_shifting,ma3,random,env_lags,18.894,33.283,0.6491,
