experiment,model,DR,granularity,split,features,MAE,RMSE,R2,R2_std
E3,linear_regression,none,raw,random,env_lags,26.679,53.302,0.5935,
E3,linear_regression,none,ma6,random,env_lags,15.132,22.167,0.847,
E3,knn,none,raw,random,env_lags,30.002,59.437,0.4945,
E3,knn,none,ma6,random,env_lags,16.557,26.996,0.7731,
E3,svr,none,raw,random,env_lags,32.254,54.832,0.5698,
E3,svr,none,ma6,random,env_lags,18.277,24.843,0.8078,
E3,random_forest,none,raw,random,env_lags,24.352,50.008,0.6422,
E3,random_forest,none,ma6,random,env_lags,12.857,19.824,0.8776,
E3,gbm,none,raw,random,env_lags,24.159,49.656,0.6472,
E3,gbm,none,ma6,random,env_lags,12.56,19.601,0.8804,
E3,xgboost,none,raw,random,env_lags,24.032,49.154,0.6543,
E3,xgboost,none,ma6,random,env_lags,12.507,19.498,0.8816,
E3,lstm,none,raw,random,env_lags,24.372,49.795,0.6444,
E3,lstm,none,ma6,random,env_lags,12.863,19.98,0.8756,
E3,cnn_lstm,none,raw,random,env_lags,25.091,50.541,0.6332,0.0022
E3,cnn_lstm,none,ma6,random,env_lags,13.303,19.906,0.8766,0.0021
E3,linear_regression,none,raw,chronological,env_lags,24.464,49.259,0.5824,
E3,linear_regression,none,ma6,chronological,env_lags,14.008,21.66,0.8777,
E3,knn,none,raw,chronological,env_lags,34.525,63.852,0.2983,
E3,knn,none,ma6,chronological,env_lags,26.788,42.737,0.5238,
E3,svr,none,raw,chronological,env_lags,50.751,71.549,0.1189,
E3,svr,none,ma6,chronological,env_lags,42.56,56.587,0.1652,
E3,random_forest,none,raw,chronological,env_lags,48.763,67.841,0.2079,
E3,random_forest,none,ma6,chronological,env_lags,39.351,51.412,0.3109,
E3,gbm,none,raw,chronological,env_lags,107.037,134.251,-1.0,
E3,gbm,none,ma6,chronological,env_lags,100.535,126.938,-1.0,
E3,xgboost,none,raw,chronological,env_lags,112.793,139.941,-1.0,
E3,xgboost,none,ma6,chronological,env_lags,106.227,133.171,-1.0,
E3,lstm,none,raw,chronological,env_lags,23.188,48.376,0.5972,
E3,lstm,none,ma6,chronological,env_lags,12.266,20.046,0.8952,
E3,cnn_lstm,none,raw,chronological,env_lags,30.026,51.048,0.5515,0.023
E3,cnn_lstm,none,ma6,chronological,env_lags,19.554,24.9,0.8384,0.0284
