experiment,model,DR,granularity,split,features,MAE,RMSE,R2
E5,linear_regression,none,raw,random,env,46.697,75.51,0.1841
E5,random_forest,none,raw,random,env,27.692,53.176,0.5954
E5,gbm,none,raw,random,env,36.213,63.098,0.4303
E5,lstm,none,raw,random,env,24.313,49.939,0.6424
E5,linear_regression,none,raw,chronological,env,46.969,72.13,0.1045
E5,random_forest,none,raw,chronological,env,93.443,113.279,-1.0
E5,gbm,none,raw,chronological,env,175.059,213.63,-1.0
E5,lstm,none,raw,chronological,env,23.673,48.604,0.5934
E5,linear_regression,none,raw,random,env_lags,26.679,53.302,0.5935
E5,random_forest,none,raw,random,env_lags,24.352,50.008,0.6422
E5,gbm,none,raw,random,env_lags,24.159,49.656,0.6472
E5,lstm,none,raw,random,env_lags,24.372,49.795,0.6444
E5,linear_regression,none,raw,chronological,env_lags,24.464,49.259,0.5824
E5,random_forest,none,raw,chronological,env_lags,48.763,67.841,0.2079
E5,gbm,none,raw,chronological,env_lags,107.037,134.251,-1.0
E5,lstm,none,raw,chronological,env_lags,23.188,48.376,0.5972
E5,linear_regression,none,raw,random,full,26.744,53.014,0.5978
E5,random_forest,none,raw,random,full,24.364,49.983,0.6425
E5,gbm,none,raw,random,full,24.08,49.479,0.6497
E5,lstm,none,raw,random,full,24.549,50.003,0.6415
E5,linear_regression,none,raw,chronological,full,23.748,49.25,0.5825
E5,random_forest,none,raw,chronological,full,47.84,67.566,0.2143
E5,gbm,none,raw,chronological,full,104.384,132.366,-1.0
E5,lstm,none,raw,chronological,full,24.893,49.222,0.583
