model,DR,MAE_paper,MAE_ours,MAE_diff,RMSE_paper,RMSE_ours,RMSE_diff,R2_paper,R2_ours,R2_diff
linear_regression,peak_clipping,33.72,13.66,-20.06,43.51,17.43,-26.08,0.78,0.586,-0.194
linear_regression,valley_filling,34.01,24.98,-9.03,42.83,52.06,9.23,0.8,0.576,-0.224
linear_regression,load_shifting,31.97,27.38,-4.59,41.56,50.12,8.56,0.82,0.505,-0.315
linear_regression,load_leveling,37.65,18.78,-18.87,45.78,33.89,-11.89,0.71,0.613,-0.097
linear_regression,tou_optimization,32.44,25.58,-6.86,42.12,49.7,7.58,0.81,0.552,-0.258
linear_regression,price_based,31.55,26.96,-4.59,40.93,50.59,9.66,0.83,0.519,-0.311
linear_regression,behavioral_dr,32.85,24.1,-8.75,42.36,47.99,5.63,0.8,0.579,-0.221
random_forest,peak_clipping,26.41,8.81,-17.6,34.55,12.63,-21.92,0.86,0.782,-0.078
random_forest,valley_filling,26.17,21.56,-4.61,33.98,49.12,15.14,0.87,0.623,-0.247
random_forest,load_shifting,25.66,20.56,-5.1,33.11,43.48,10.37,0.88,0.628,-0.252
random_forest,load_leveling,28.75,15.23,-13.52,36.22,31.06,-5.16,0.83,0.674,-0.156
random_forest,tou_optimization,25.87,22.22,-3.65,33.57,45.37,11.8,0.87,0.627,-0.243
random_forest,price_based,25.13,21.87,-3.26,32.44,44.84,12.4,0.89,0.622,-0.268
random_forest,behavioral_dr,25.6,21.67,-3.93,33.3,44.71,11.41,0.88,0.635,-0.245
svr,peak_clipping,30.71,10.27,-20.44,39.42,13.93,-25.49,0.81,0.736,-0.074
svr,valley_filling,30.33,30.73,0.4,38.91,54.04,15.13,0.82,0.543,-0.277
svr,load_shifting,29.51,31.51,2.0,37.86,50.49,12.63,0.83,0.498,-0.332
svr,load_leveling,32.45,21.33,-11.12,40.63,34.34,-6.29,0.78,0.602,-0.178
svr,tou_optimization,29.02,31.61,2.59,37.55,50.85,13.3,0.83,0.531,-0.299
svr,price_based,28.66,33.6,4.94,36.73,52.39,15.66,0.85,0.484,-0.366
svr,behavioral_dr,28.95,29.71,0.76,36.89,49.76,12.87,0.84,0.548,-0.292
knn,peak_clipping,31.67,11.12,-20.55,39.05,15.2,-23.85,0.81,0.685,-0.125
knn,valley_filling,30.94,26.38,-4.56,38.11,58.15,20.04,0.82,0.471,-0.349
knn,load_shifting,29.8,27.27,-2.53,36.79,52.19,15.4,0.83,0.464,-0.366
knn,load_leveling,33.82,18.08,-15.74,41.6,35.79,-5.81,0.76,0.568,-0.192
knn,tou_optimization,29.52,27.26,-2.26,36.44,54.05,17.61,0.84,0.47,-0.37
knn,price_based,29.66,27.53,-2.13,36.62,53.93,17.31,0.83,0.453,-0.377
knn,behavioral_dr,29.44,26.28,-3.16,36.18,52.75,16.57,0.84,0.492,-0.348
persistence,peak_clipping,16.247,31.2,14.95,19.497,71.78,52.28,0.743,-1.0,-1.743
persistence,valley_filling,18.392,27.05,8.66,22.07,57.46,35.39,0.69,0.483,-0.207
persistence,load_shifting,35.0,46.72,11.72,42.0,70.95,28.95,-1.0,0.009,1.009
persistence,load_leveling,35.0,30.3,-4.7,42.0,53.84,11.84,-1.0,0.022,1.022
persistence,tou_optimization,17.607,28.93,11.32,21.128,58.22,37.09,0.706,0.385,-0.321
persistence,price_based,14.124,33.05,18.92,16.948,61.62,44.67,0.745,0.286,-0.459
persistence,behavioral_dr,18.995,27.43,8.44,22.794,56.66,33.86,0.632,0.413,-0.219
seasonal_naive,peak_clipping,15.091,42.18,27.09,18.109,82.58,64.48,0.628,-1.0,-1.628
seasonal_naive,valley_filling,15.825,54.16,38.33,18.991,100.87,81.88,0.679,-0.592,-1.271
seasonal_naive,load_shifting,35.0,69.83,34.83,42.0,106.33,64.33,-1.0,-1.0,0.0
seasonal_naive,load_leveling,35.0,51.13,16.13,42.0,87.78,45.78,-1.0,-1.0,0.0
seasonal_naive,tou_optimization,15.753,55.75,39.99,18.903,99.49,80.58,0.655,-0.795,-1.45
seasonal_naive,price_based,16.736,58.69,41.95,20.084,100.81,80.72,0.718,-0.91,-1.628
seasonal_naive,behavioral_dr,15.198,54.05,38.85,18.238,98.41,80.17,0.677,-0.77,-1.447
ets,peak_clipping,15.07,40.25,25.18,18.084,53.07,34.99,0.732,-1.0,-1.732
ets,valley_filling,17.24,56.76,39.52,20.688,83.16,62.47,0.631,-0.082,-0.713
ets,load_shifting,34.0,75.4,41.4,42.0,93.81,51.81,-1.0,-0.733,0.267
ets,load_leveling,34.0,50.77,16.77,42.0,65.35,23.35,-1.0,-0.441,0.559
ets,tou_optimization,18.389,59.13,40.75,22.067,82.66,60.59,0.725,-0.239,-0.964
ets,price_based,17.264,62.75,45.49,20.717,85.25,64.54,0.691,-0.366,-1.057
ets,behavioral_dr,16.596,55.55,38.96,19.915,79.63,59.72,0.681,-0.159,-0.84
lstm,peak_clipping,20.33,9.03,-11.3,26.84,12.51,-14.33,0.91,0.786,-0.124
lstm,valley_filling,20.17,21.66,1.49,26.12,48.8,22.68,0.92,0.627,-0.293
lstm,load_shifting,19.84,22.08,2.24,25.59,44.95,19.36,0.93,0.603,-0.327
lstm,load_leveling,21.47,14.9,-6.57,28.76,30.35,1.59,0.89,0.688,-0.202
lstm,tou_optimization,19.78,22.56,2.78,25.21,46.12,20.91,0.93,0.613,-0.317
lstm,price_based,18.95,22.97,4.02,24.83,46.52,21.69,0.94,0.592,-0.348
lstm,behavioral_dr,19.67,21.52,1.85,25.47,44.62,19.15,0.93,0.636,-0.294
