DR,scheme,R2_ours,R2_paper,R2_diff,MAE_ours,MAE_paper,RMSE_ours,RMSE_paper
peak_clipping,raw,0.79,0.91,-0.12,8.859999656677246,20.33,12.4,26.84
peak_clipping,ma6,0.937,0.91,0.027,4.15,20.33,5.29,26.84
peak_clipping,ma12,0.948,0.91,0.038,3.09,20.33,3.9,26.84
valley_filling,raw,0.624,0.92,-0.296,21.5,20.17,48.91,26.12
valley_filling,ma6,0.869,0.92,-0.051,11.79,20.17,19.2,26.12
valley_filling,ma12,0.899,0.92,-0.021,9.27,20.17,13.42,26.12
load_shifting,raw,0.607,0.93,-0.323,22.5,19.84,44.65,25.59
load_shifting,ma6,0.853,0.93,-0.077,12.14,19.84,18.07,25.59
load_shifting,ma12,0.886,0.93,-0.044,9.33,19.84,12.72,25.59
load_leveling,raw,0.69,0.89,-0.2,15.40999984741211,21.47,30.24,28.76
load_leveling,ma6,0.909,0.89,0.019,8.2,21.47,12.03,28.76
load_leveling,ma12,0.937,0.89,0.047,6.4,21.47,8.57,28.76
tou_optimization,raw,0.617,0.93,-0.313,22.8799991607666,19.78,45.82,25.21
tou_optimization,ma6,0.865,0.93,-0.065,12.23,19.78,18.4,25.21
tou_optimization,ma12,0.897,0.93,-0.033,9.49,19.78,13.06,25.21
price_based,raw,0.598,0.94,-0.342,23.3799991607666,18.95,46.06,24.83
price_based,ma6,0.856,0.94,-0.084,12.48,18.95,18.41,24.83
price_based,ma12,0.893,0.94,-0.047,9.56,18.95,12.92,24.83
behavioral_dr,raw,0.627,0.93,-0.303,22.170000076293945,19.67,45.12,25.47
behavioral_dr,ma6,0.873,0.93,-0.057,12.06,19.67,18.09,25.47
behavioral_dr,ma12,0.901,0.93,-0.029,9.49,19.67,13.01,25.47
