model,DR,MAE,RMSE,R2
linear_regression,peak_clipping,26.945,34.071,-0.104
linear_regression,valley_filling,47.221,74.461,0.175
linear_regression,load_shifting,34.878,62.956,0.375
linear_regression,load_leveling,18.511,24.74,0.354
linear_regression,tou_optimization,45.294,72.676,0.142
linear_regression,price_based,45.435,72.596,0.13
linear_regression,behavioral_dr,44.247,72.011,0.187
random_forest,peak_clipping,15.064,21.873,0.545
random_forest,valley_filling,26.848,52.871,0.584
random_forest,load_shifting,20.293,44.28,0.691
random_forest,load_leveling,8.488,11.678,0.856
random_forest,tou_optimization,26.61,51.035,0.577
random_forest,price_based,26.589,50.898,0.572
random_forest,behavioral_dr,26.421,51.027,0.592
svr,peak_clipping,26.763,33.363,-0.059
svr,valley_filling,38.804,66.337,0.345
svr,load_shifting,32.653,56.632,0.495
svr,load_leveling,14.377,19.985,0.579
svr,tou_optimization,42.369,66.078,0.291
svr,price_based,42.574,66.085,0.279
svr,behavioral_dr,41.395,65.504,0.327
knn,peak_clipping,17.623,25.079,0.402
knn,valley_filling,31.486,60.166,0.461
knn,load_shifting,23.795,49.373,0.616
knn,load_leveling,9.263,12.018,0.848
knn,tou_optimization,31.441,58.209,0.45
knn,price_based,31.427,58.059,0.443
knn,behavioral_dr,31.068,57.96,0.473
persistence,peak_clipping,29.629,66.982,-1.0
persistence,valley_filling,24.999,56.99,0.517
persistence,load_shifting,66.412,93.775,-0.386
persistence,load_leveling,47.729,74.941,-1.0
persistence,tou_optimization,27.856,58.368,0.447
persistence,price_based,28.893,59.092,0.423
persistence,behavioral_dr,26.403,56.946,0.491
seasonal_naive,peak_clipping,43.053,81.738,-1.0
seasonal_naive,valley_filling,53.612,101.355,-0.529
seasonal_naive,load_shifting,87.303,120.237,-1.0
seasonal_naive,load_leveling,55.188,86.149,-1.0
seasonal_naive,tou_optimization,55.968,101.248,-0.665
seasonal_naive,price_based,56.692,101.481,-0.7
seasonal_naive,behavioral_dr,54.815,100.648,-0.589
ets,peak_clipping,40.036,52.675,-1.0
ets,valley_filling,55.682,83.498,-0.038
ets,load_shifting,94.284,111.626,-0.964
ets,load_leveling,51.602,61.963,-1.0
ets,tou_optimization,59.073,84.653,-0.164
ets,price_based,60.306,85.285,-0.201
ets,behavioral_dr,56.365,82.905,-0.078
lstm,peak_clipping,11.95,17.583,0.706
lstm,valley_filling,23.649,49.43,0.636
lstm,load_shifting,17.881,41.01,0.735
lstm,load_leveling,7.562,10.257,0.889
lstm,tou_optimization,23.702,47.824,0.629
lstm,price_based,23.703,47.739,0.624
lstm,behavioral_dr,23.516,47.938,0.64
