model,DR,MAE,RMSE,R2
linear_regression,peak_clipping,13.656,17.431,0.586
random_forest,peak_clipping,8.814,12.632,0.782
svr,peak_clipping,10.269,13.926,0.736
knn,peak_clipping,11.122,15.199,0.685
persistence,peak_clipping,31.195,71.775,-1.0
seasonal_naive,peak_clipping,42.181,82.585,-1.0
ets,peak_clipping,40.246,53.07,-1.0
lstm,peak_clipping,9.026,12.513,0.786
linear_regression,valley_filling,24.978,52.062,0.576
random_forest,valley_filling,21.563,49.116,0.623
svr,valley_filling,30.733,54.039,0.543
knn,valley_filling,26.379,58.15,0.471
persistence,valley_filling,27.053,57.461,0.483
seasonal_naive,valley_filling,54.156,100.873,-0.592
ets,valley_filling,56.759,83.162,-0.082
lstm,valley_filling,21.66,48.795,0.627
linear_regression,load_shifting,27.382,50.122,0.505
random_forest,load_shifting,20.563,43.481,0.628
svr,load_shifting,31.514,50.491,0.498
knn,load_shifting,27.275,52.187,0.464
persistence,load_shifting,46.722,70.947,0.009
seasonal_naive,load_shifting,69.829,106.329,-1.0
ets,load_shifting,75.397,93.814,-0.733
lstm,load_shifting,22.081,44.947,0.603
linear_regression,load_leveling,18.778,33.886,0.613
random_forest,load_leveling,15.232,31.063,0.674
svr,load_leveling,21.334,34.34,0.602
knn,load_leveling,18.084,35.794,0.568
persistence,load_leveling,30.301,53.845,0.022
seasonal_naive,load_leveling,51.128,87.775,-1.0
ets,load_leveling,50.769,65.354,-0.441
lstm,load_leveling,14.897,30.351,0.688
linear_regression,tou_optimization,25.581,49.703,0.552
random_forest,tou_optimization,22.218,45.371,0.627
svr,tou_optimization,31.613,50.847,0.531
knn,tou_optimization,27.256,54.048,0.47
persistence,tou_optimization,28.925,58.217,0.385
seasonal_naive,tou_optimization,55.747,99.486,-0.795
ets,tou_optimization,59.135,82.659,-0.239
lstm,tou_optimization,22.564,46.123,0.613
linear_regression,price_based,26.957,50.594,0.519
random_forest,price_based,21.87,44.841,0.622
svr,price_based,33.604,52.394,0.484
knn,price_based,27.529,53.931,0.453
persistence,price_based,33.045,61.621,0.286
seasonal_naive,price_based,58.69,100.807,-0.91
ets,price_based,62.753,85.255,-0.366
lstm,price_based,22.968,46.519,0.592
linear_regression,behavioral_dr,24.104,47.988,0.579
random_forest,behavioral_dr,21.67,44.707,0.635
svr,behavioral_dr,29.706,49.762,0.548
knn,behavioral_dr,26.28,52.75,0.492
persistence,behavioral_dr,27.434,56.658,0.413
seasonal_naive,behavioral_dr,54.045,98.411,-0.77
ets,behavioral_dr,55.552,79.634,-0.159
lstm,behavioral_dr,21.519,44.623,0.636
