model,DR,MAE,RMSE,R2
linear_regression,peak_clipping,18.035,23.909,0.469
random_forest,peak_clipping,14.406,20.815,0.597
svr,peak_clipping,15.643,22.158,0.544
knn,peak_clipping,17.137,23.505,0.486
persistence,peak_clipping,34.618,60.681,-1.0
seasonal_naive,peak_clipping,41.298,70.914,-1.0
ets,peak_clipping,35.131,44.843,-0.869
lstm,peak_clipping,15.476,22.191,0.541
linear_regression,valley_filling,35.231,53.399,0.392
random_forest,valley_filling,31.119,51.485,0.435
svr,valley_filling,34.875,52.435,0.414
knn,valley_filling,32.315,53.262,0.396
persistence,valley_filling,36.784,62.878,0.158
seasonal_naive,valley_filling,49.549,84.489,-0.521
ets,valley_filling,48.211,67.452,0.031
lstm,valley_filling,31.732,51.956,0.421
linear_regression,load_shifting,32.704,49.306,0.343
random_forest,load_shifting,26.549,45.786,0.433
svr,load_shifting,34.35,49.358,0.341
knn,load_shifting,29.102,47.048,0.401
persistence,load_shifting,55.875,76.171,-0.569
seasonal_naive,load_shifting,66.124,92.243,-1.0
ets,load_shifting,69.724,84.154,-0.915
lstm,load_shifting,30.946,47.336,0.395
linear_regression,load_leveling,24.968,35.802,0.442
random_forest,load_leveling,21.569,33.472,0.512
svr,load_leveling,23.878,34.332,0.487
knn,load_leveling,21.6,34.061,0.495
persistence,load_leveling,36.583,56.277,-0.38
seasonal_naive,load_leveling,48.296,75.36,-1.0
ets,load_leveling,43.821,55.026,-0.319
lstm,load_leveling,20.687,30.863,0.582
linear_regression,tou_optimization,33.314,50.063,0.338
random_forest,tou_optimization,28.246,46.433,0.431
svr,tou_optimization,33.123,48.922,0.368
knn,tou_optimization,29.072,47.712,0.399
persistence,tou_optimization,39.761,64.836,-0.11
seasonal_naive,tou_optimization,49.999,83.018,-0.82
ets,tou_optimization,51.613,69.619,-0.28
lstm,tou_optimization,29.446,46.941,0.413
linear_regression,price_based,33.667,50.168,0.299
random_forest,price_based,27.967,46.04,0.41
svr,price_based,32.829,48.638,0.341
knn,price_based,28.824,47.231,0.379
persistence,price_based,43.59,68.029,-0.288
seasonal_naive,price_based,52.969,84.378,-0.982
ets,price_based,55.66,73.126,-0.489
lstm,price_based,28.874,46.158,0.401
linear_regression,behavioral_dr,32.488,48.745,0.372
random_forest,behavioral_dr,27.583,45.335,0.457
svr,behavioral_dr,32.538,47.819,0.396
knn,behavioral_dr,28.791,46.887,0.419
persistence,behavioral_dr,37.868,63.145,-0.053
seasonal_naive,behavioral_dr,48.193,82.346,-0.791
ets,behavioral_dr,48.426,66.444,-0.166
lstm,behavioral_dr,28.976,46.542,0.426
